Apple [ˈæpəl] - Яблоко
Carry [ˈkæri] - Нести
Throw [θroʊ] - Бросать
Catch [kæʧ] - Ловить
Release [rɪˈliːs] - Отпускать
Aim [eɪm] - Целиться
Shoot [ʃut] - Стрелять
Kick [kɪk] - Ударять ногой
Punch [pʌntʃ] - Бить кулаком
Block [blɑːk] - Блокировать
Dodge [dɒdʒ] - Уклоняться
Attack [əˈtæk] - Нападать
Defend [dɪˈfɛnd] - Защищаться
Strategy [ˈstrætədʒi] - Стратегия
Tactics [ˈtæktɪks] - Тактика
Victory [ˈvɪktəri] - Победа
Defeat [dɪˈfiːt] - Поражение
Team [tiːm] - Команда
Player [ˈpleɪər] - Игрок
Coach [koʊʧ] - Тренер
Referee [ˌrɛfəˈriː] - Судья
Trophy [ˈtroʊfi] - Трофей
Medal [ˈmɛdl] - Медаль
Coach [koʊʧ] - Автобус
Train [treɪn] - Поезд
Plane [pleɪn] - Самолет
Ship [ʃɪp] - Корабль
Bicycle [ˈbaɪsɪkl] - Велосипед
Motorbike [ˈmoʊtərbaɪk] - Мотоцикл
Taxi [ˈtæksi] - Такси
Subway [ˈsʌbweɪ] - Метро
Bus [bʌs] - Автобус
Tram [træm] - Трамвай
Street [striːt] - Улица
Road [roʊd] - Дорога
Highway [ˈhaɪweɪ] - Шоссе
Lane [leɪn] - Полоса движения
Path [pæθ] - Путь
Bridge [brɪdʒ] - Мост
Tunnel [ˈtʌnl] - Туннель
Airport [ˈɛrˌpɔrt] - Аэропорт
Station [ˈsteɪʃən] - Вокзал, станция
Port [pɔːrt] - Порт
Stop [stɑːp] - Остановка
Go [ɡoʊ] - Идти, ехать
Wait [weɪt] - Ждать
Arrive [əˈraɪv] - Прибывать
Depart [dɪˈpɑːrt] - Отправляться
Board [bɔːrd] - Садиться на борт
Ticket [ˈtɪkɪt] - Билет
Passport [ˈpæspɔːrt] - Паспорт
Visa [ˈviːzə] - Виза
Luggage [ˈlʌɡɪdʒ] - Багаж
Suitcase [ˈsuːtkeɪs] - Чемодан
Backpack [ˈbækˌpæk] - Рюкзак
Bag [bæɡ] - Сумка
Wallet [ˈwɔlɪt] - Кошелек
Purse [pɜːrs] - Дамская сумка
Phone [foʊn] - Телефон
Charger [ˈʧɑːrdʒər] - Зарядное устройство
Battery [ˈbætəri] - Батарея
Screen [skriːn] - Экран
Button [ˈbʌtn] - Кнопка
Programming [ˈproʊɡræmɪŋ] - Программирование
Code [koʊd] - Код
Algorithm [ˈælɡəˌrɪðəm] - Алгоритм
Function [ˈfʌŋkʃən] - Функция
Variable [ˈvɛriəbl] - Переменная
Array [əˈreɪ] - Массив
Loop [luːp] - Цикл
If [ɪf] - Если
Else [ɛls] - Иначе
While [waɪl] - Пока
For [fɔːr] - Для
Switch [swɪʧ] - Переключатель
Break [breɪk] - Прерывание
Continue [kənˈtɪnjuː] - Продолжить
Return [rɪˈtɜːrn] - Возврат
Debug [diːˈbʌɡ] - Отладка
Error [ˈɛrər] - Ошибка
Bug [bʌɡ] - Баг
Compile [kəmˈpaɪl] - Компилировать
Run [rʌn] - Запускать
Test [tɛst] - Тестировать
Deploy [dɪˈplɔɪ] - Развертывать
Git [ɡɪt] - Гит (система контроля версий)
Repository [rɪˈpɒzɪtəri] - Репозиторий
Branch [brænʧ] - Ветка
Merge [mɜːrdʒ] - Слияние
Pull request [pʊl rɪˈkwɛst] - Запрос на включение изменений
Front-End [frʌnt ɛnd] - Фронтенд (разработка пользовательского интерфейса)
HTML [eɪʧ tiː ɛm ɛl] - HTML (язык разметки)
CSS [siː ɛs ɛs] - CSS (каскадные таблицы стилей)
JavaScript [ˈʤɑːvəˌskrɪpt] - JavaScript (язык программирования)
Framework [ˈfreɪmwɜːrk] - Фреймворк
Library [ˈlɪbrəri] - Библиотека
Responsive [rɪˈspɒnsɪv] - Адаптивный
Design [dɪˈzaɪn] - Дизайн
Interface [ˈɪntərfeɪs] - Интерфейс
User [ˈjuːzər] - Пользователь
Click [klɪk] - Клик
Hover [ˈhoʊvər] - Наведение
Input [ˈɪnpʊt] - Ввод
Output [ˈaʊtpʊt] - Вывод
Database [ˈdeɪtəbeɪs] - База данных
SQL [ˌɛs kjuː ˈɛl] - SQL (язык структурированных запросов)
API [ˌeɪ piː ˈaɪ] - API (интерфейс программирования приложений)
Endpoint [ˈɛndˌpɔɪnt] - Эндпоинт (конечная точка API)
Request [rɪˈkwɛst] - Запрос
Response [rɪˈspɒns] - Ответ
Server [ˈsɜːrvər] - Сервер
Client [ˈklaɪənt] - Клиент
Hosting [ˈhoʊstɪŋ] - Хостинг
Domain [dəˈmeɪn] - Домен
URL [juː ɑːr ˈɛl] - URL (унифицированный указатель ресурса)
Webpage [ˈwɛbpɪdʒ] - Веб-страница
Website [ˈwɛbsaɪt] - Веб-сайт
Navigation [ˌnævɪˈɡeɪʃən] - Навигация
Link [lɪŋk] - Ссылка
Button [ˈbʌtn] - Кнопка
Form [fɔːrm] - Форма
Input [ˈɪnpʊt] - Поле ввода
Checkbox [ˈʧɛkbɑːks] - Флажок
Radio [ˈreɪdioʊ] - Радиокнопка
Dropdown [ˈdraʊnˌdaʊn] - Выпадающий список
Textarea [ˈtɛkstˌɛrɪə] - Текстовая область
Image [ˈɪmɪdʒ] - Изображение
Video [ˈvɪdioʊ] - Видео
Audio [ˈɔːdioʊ] - Аудио
Animation [ˌænɪˈmeɪʃən] - Анимация
Responsive [rɪˈspɒnsɪv] - Адаптивный
Mobile [ˈmoʊbaɪl] - Мобильный
Tablet [ˈtæblɪt] - Планшет
Desktop [ˈdɛsktɒp] - Настольный компьютер
Browser [ˈbraʊzər] - Браузер
Chrome [kroʊm] - Chrome (браузер)
Firefox [ˈfaɪəˌfɑks] - Firefox (браузер)
Safari [səˈfɑːri] - Safari (браузер)
Edge [ɛdʒ] - Edge (браузер)
Internet [ˈɪntərnɛt] - Интернет
Online [ˈɒnlaɪn] - Онлайн
Offline [ˈɔːflaɪn] - Офлайн
proofreader [ˈpruːfˌriːdər] - корректор
indexer [ˈɪndɛksər] - индексатор
birmingham [ˈbɜːrmɪŋˌhæm] - бирмингем
at [æt] - в
contributors [kənˈtrɪbjʊtərz] - участники
preface [ˈpriːfɪs] - предисловие
summary [ˈsʌməri] - резюме
classes [ˈklæsɪz] - классы
interfaces [ˈɪntərfeɪsɪz] - интерфейсы
interface [ˈɪntərfeɪs] - интерфейс
rest [rɛst] - отдых
find [faɪnd] - находить
filter [ˈfɪltər] - фильтровать
map [mæp] - отображать
reduce [rɪˈduːs] - уменьшать
set [sɛt] - множество
map [mæp] - карта
state [steɪt] - состояние
simplicity [sɪmˈplɪsɪti] - простота
system [ˈsɪstəm] - система
transpilation [trænsˌpaɪˈleɪʃən] - транспиляция
mocking [ˈmɑːkɪŋ] - мокирование
development [dɪˈvɛləpmənt] - разработка
prettier [ˈprɪtiər] - красивее
routing [ˈruːtɪŋ] - маршрутизация
debugging [diːˈbʌɡɪŋ] - отладка
application [ˌæplɪˈkeɪʃən] - приложение
redis [ˈrɛdɪs] - редис
typeorm [ˈtaɪpɔrm] - типорм
graphql [ˈɡræfˌkwɪl] - графкюэль
troubleshooting [ˈtrʌblˌʃuːtɪŋ] - устранение неполадок
code [koʊd] - код
in [ɪn] - в
text [tɛkst] - текст
src [sɑrs] - исходный код
let [lɛt] - позволяет
a [ə] - а
b [biː] - би
exten [ɛkˈstɛn] - расширение
npm [ˌɛnpiːˈɛm] - npm (управление пакетами)
install [ɪnˈstɔːl] - установить
typescript [ˈtaɪpskrɪpt] - тайпскрипт
bold [boʊld] - жирный
administration [ədˌmɪnɪsˈtreɪʃən] - администрирование
errata [ɪˈrætə] - поправки
piracy [ˈpaɪrəsi] - пиратство
reviews [rɪˈvjuːz] - обзоры
oop [uːˌoʊˈpiː] - ООП (объектно-ориентированное программирование)
vscode [ˌviːsiːkoʊd] - ВСКод (редактор кода Visual Studio Code)
handsontypescript [ˌhændzˌɒnˈtaɪpskrɪpt] - практический тайпскрипт
file [faɪl] - файл
open [ˈoʊpən] - открыть
view [vjuː] - вид
terminal [ˈtɜːrmənl] - терминал
package [ˈpækɪdʒ] - пакет
init [ɪˈnɪt] - инициализировать
tsc [tiː ɛs siː] - тсс (компилятор TypeScript)
node [noʊd] - нода (среда выполнения)
the [ðə] - артикль "the"
and [ænd] - и
number [ˈnʌmbər] - номер
type [taɪp] - тип
is [ɪz] - это (глагол "быть" в 3-ем лице единственного числа)
not [nɑt] - не
assignable [əˈsaɪnəbl] - приемлемый
to [tuː] - к (предлог)
function [ˈfʌŋkʃən] - функция
else [ɛls] - иначе
allow [əˈlaʊ] - разрешать
const [kɒnst] - константа
tom [tɒm] - Том
canDrive [kæn draɪv] - может водить
for [fɔːr] - для
age [eɪdʒ] - возраст
interface [ˈɪntərfeɪs] - интерфейс
user [ˈjuːzər] - пользователь
name [neɪm] - имя
usr [ʌsr] - узр (вероятно, ошибка в написании)
property [ˈprɒpərti] - свойство
missing [ˈmɪsɪŋ] - отсутствующий
but [bʌt] - но
required [rɪˈkwaɪrd] - требуемый
pretend [prɪˈtɛnd] - притворяться
sometime [ˈsʌmˌtaɪm] - когда-нибудь
later [ˈleɪtər] - позже
someone [ˈsʌmˌwʌn] - кто-то
uses [ˈjuzɪz] - использует
encapsulation [ɛnˌkæpsjʊˈleɪʃən] - инкапсуляция
abstraction [æbˈstrækʃən] - абстракция
inheritance [ɪnˈhɛrɪtəns] - наследование
polymorphism [ˌpɑːliˈmɔːrfɪzəm] - полиморфизм
private [ˈpraɪvɪt] - приватный
instanceof [ˌɪnˈstænsəv] - экземпляр класса
a [ə] - артикль "a"
instance [ˈɪnstəns] - экземпляр
class [klæs] - класс
person [ˈpɜːrsən] - человек
string [strɪŋ] - строка
jill [dʒɪl] - Джилл
person [ˈpɜːrsən] - человек
shape [ʃeɪp] - форма
any [ˈɛni] - любой
unknown [ʌnˈnoʊn] - неизвестный
val [væl] - значение
new [nuː] - новый
push [pʊʃ] - добавить
array [əˈreɪ] - массив
if [ɪf] - если
intersection [ˌɪntərˈsɛkʃən] - пересечение
obj [ɒbʤ] - объект
union [ˈjuːnjən] - объединение
null [nʌl] - null
unionObj [ˈjuːnjənɒbʤ] - объединение объекта
literal [ˈlɪtərəl] - литерал
john [dʒɒn] - Джон
points [pɔɪnts] - очки
score [skɔːr] - счет
complexPerson [ˌkɒmplɛksˈpɜːrsən] - сложный человек
return [rɪˈtɜːrn] - вернуть
distance [ˈdɪstəns] - расстояние
runMore [rʌn mɔːr] - беги больше
void [vɔɪd] - пустота
ate [eɪt] - ел
calories [ˈkæləriz] - калории
slept [slɛpt] - спал
hours [ˈaʊərz] - часы
undefined [ˌʌndɪˈfaɪnd] - неопределенный
run [rʌn] - бежать
boolean [ˈbuːliən] - булевый
runner [ˈrʌnər] - бегун
true [truː] - истина
false [fɔːls] - ложь
never [ˈnɛvər] - никогда
throw [θroʊ] - выбросить
msg [mɛsɪdʒ] - сообщение
speak [spiːk] - говорить
hello [həˈloʊ] - привет
called [ˈkɔːld] - названный
readonly [ˈriːdˌoʊnli] - только для чтения
even [ˈiːvən] - даже
getters [ˈɡɛtərz] - геттеры
setters [ˈsɛtərz] - сеттеры
getter [ˈɡɛtər] - геттер
setter [ˈsɛtər] - сеттер
speaker [ˈspiːkər] - динамик (говорящее устройство)
get [ɡɛt] - получить
set [sɛt] - установить
tmpMessage [tmpˈmɛsɪdʒ] - временное сообщение
public [ˈpʌblɪk] - публичный
static [ˈstætɪk] - статический
classA [klæs eɪ] - классА
typeName [taɪp neɪm] - имяТипа
runner [ˈrʌnər] - бегун
run [rʌn] - бежать
interfaces [ˈɪntərfeɪsɪz] - интерфейсы
employee [ˌɛmplɔɪˈiː] - сотрудник
getUniqueId [ɡɛt ˌjuːˈnaɪkwaɪd] - получитьУникальныйИдентификатор
uniqueId [juːˈniːkˌaɪd] - уникальныйИдентификатор
linda [ˈlɪndə] - Линда
id [aɪd] - идентификатор
pam [pæm] - Пэм
handle [ˈhændəl] - обрабатывать
or [ɔːr] - или
inheritance [ɪnˈhɛrɪtəns] - наследование
vehicle [ˈviːɪkl] - транспортное средство
motorcycle [ˈmoʊtərsaɪkl] - мотоцикл
extends [ɪkˈstɛndz] - расширяет
automobile [ˈɔːtəmoʊˌbiːl] - автомобиль
motorcycle [ˈmoʊtərsaɪkl] - мотоцикл
autoMobile [ˈɔːtoʊmoʊˌbiːl] - автомобиль
super [ˈsuːpər] - супер
wheelCount [wiːl kaʊnt] - количество колес
showNumberOfWheels [ʃoʊ ˈnʌmbər ʌv wiːlz] - показатьКоличествоКолес
updateWheelCount [ʌpˈdeɪt wiːl kaʊnt] - обновитьКоличество Колес
protected [prəˈtɛktɪd] - защищенный
parent [ˈpɛrənt] - родитель
namespaces [ˈneɪmsˌpeɪsɪz] - пространства имен
namespace [ˈneɪmsˌpeɪs] - пространство имен
FirstClass [fɜːrst klæs] - ПервыйКласс
B [biː] - Би
SecondClass [ˈsɛkənd klæs] - ВторойКласс
test [tɛst] - тест
AbstractNamespace [ˈæbstrækt ˈneɪmsˌpeɪs] - АбстрактноеПространствоИмен
abstract [ˈæbstrækt] - абстрактный
has [hæz] - имеет
member [ˈmɛmbər] - член
overriding [ˌoʊvərˈraɪdɪŋ] - переопределение
InterfaceNamespace [ˈɪntərfeɪs ˈneɪmsˌpeɪs] - ПространствоИнтерфейса
Thing [θɪŋ] - вещь
getFullName [ɡɛt ˈfʊlˌneɪm] - получитьПолноеИмя
although [ɔːlˈðoʊ] - хотя
because [bɪˈkɔːz] - потому что
implements [ˈɪmpləmənts] - реализует
no [noʊ] - нет
moto [ˈmoʊtoʊ] - мото
Generics [dʒəˈnɛrɪks] - обобщения
T [tiː] - Ти
arg [ɑːrg] - аргумент
length [lɛŋθ] - длина
getLength [ɡɛt lɛŋθ] - получитьДлину
HasLength [hæz lɛŋθ] - ИмеетДлину
whatever [wətˈɛvər] - что угодно
GenericNamespace [dʒəˈnɛrɪk ˈneɪmsˌpeɪs] - ОбобщенноеПространствоИмен
Wheels [wiːlz] - Колеса
Wheel [wiːl] - Колесо
Chevy [ˈʧɛvi] - Шеви
chevy [ˈʧɛvi] - шеви
compiler [kəmˈpaɪlər] - компилятор
OptionalChainingNS [ˈɑːpʃənl ˈʧeɪnɪŋ ˈɛnˈɛs] - ПространствоОпциональныхЦепочек
car [kɑːr] - автомобиль
wheels [wiːlz] - колеса
count [kaʊnt] - количество
last [læst] - последний
result [rɪˈzʌlt] - результат
lib [lɪb] - библиотека
ts [tiː ɛs] - тс (сокращение TypeScript)
this [ðɪs] - это
async [ˈæsɪŋk] - асинхронный
await [əˈweɪt] - ожидание
context [ˈkɒntɛkst] - контекст
HandsOnTypescript [ˈhændzˌɒn taɪpskrɪpt] - ПрактическийТайпскрипт
scoping [ˈskoʊpɪŋ] - области видимости
var [vɑːr] - переменная
go [ɡoʊ] - идти
constants [ˈkɒnstənts] - константы
lets [lɛts] - позволяет
use [juːs] - использовать
versus [ˈvɜːrsəs] - против
window [ˈwɪndoʊ] - окно
MyFunction [maɪ ˈfʌŋkʃən] - МояФункция
using [ˈjuːzɪŋ] - используя
file [faɪl] - файл
myFunc [maɪ fʌŋk] - мояФункция
arguments [ˈɑːrɡjʊmənts] - аргументы
func [fʌŋk] - функция
of [ʌv] - из
apply [əˈplaɪ] - применять
call [kɔːl] - вызов
bind [baɪnd] - привязать
writes [raɪts] - записывает
callerObj [ˈkɔːlərɑːbʤ] - вызывающийОбъект
I [aɪ] - я
have [hæv] - имею
my [maɪ] - мой
jon [ʤɑːn] - Джон
checkMyThis [ʧɛk maɪ ðɪs] - проверьМоеЭто
field [fiːld] - поле
follows [ˈfɑːloʊz] - следует
spread [sprɛd] - распространение
objb [ɒbdʒ b] - объектБ
into [ˈɪntuː] - в
obja [ɒbdʒ eɪ] - объектА
NamespaceA [ˈneɪmsˌpeɪs eɪ] - ПространствоИменА
c [siː] - си
d [diː] - ди
spreadObj [sprɛd ɒbdʒ] - распространениеОбъекта
aname [eɪneɪm] - анейм
bname [biːneɪm] - бнейм
after [ˈæftər] - после
SpreadArray [sprɛd ˈærɪ] - РаспространениеМассива
concat [kənˈkæt] - объединить
Destructuring [diːˈstrʌktʃərɪŋ] - деструктуризация
getEmployee [ɡɛt ˌɛmplɔɪˈiː] - получитьСотрудника
by [baɪ] - по
employee [ˌɛmplɔɪˈiː] - сотрудник
fullName [ˈfʊlˌneɪm] - полноеИмя
getEmployeeWorkInfo [ɡɛt ˌɛmplɔɪˈiː wɜːrk ˈɪnfoʊ] - получитьИнформациюОРаботеСотрудника
doSomething [duː ˈsʌmθɪŋ] - сделатьЧто-то
rest [rɛst] - остальное
items [ˈaɪtəmz] - элементы
filterItems [ˈfɪltər ˈaɪtəmz] - фильтроватьЭлементы
results [rɪˈzʌlts] - результаты
employees [ˌɛmplɔɪˈiːz] - сотрудники
elements [ˈɛlɪmənts] - элементы
item [ˈaɪtəm] - элемент
index [ˈɪndɛks] - индекс
allTrucks [ɔːl ˈtrʌks] - все грузовики
initialCapacity [ɪˈnɪʃəl kəˈpæsɪti] - начальнаяЕмкость
allTonnage [ɔːl ˈtʌnɪdʒ] - весьТоннаж
totalCapacity [ˈtoʊtəl kəˈpæsɪti] - общаяЕмкость
at [æt] - в
some [sʌm] - некоторые
every [ˈɛvri] - каждый
all [ɔːl] - все
widgets [ˈwɪdʒɪts] - виджеты
are [ɑːr] - являются
one [wʌn] - одним
userIds [ˈjuːzəraɪdz] - идентификаторыПользователя
uniqueIds [juːˈniːk ˈaɪdz] - уникальныеИдентификаторы
size [saɪz] - размер
sample [ˈsæmpl] - пример
mappedEmp [ˈmæpt ɛmplɔɪˈiː] - отображенныйСотрудник
jim [ʤɪm] - Джим
C [siː] - Си
statement [ˈsteɪtmənt] - оператор
reducer [rɪˈduːsər] - редьюсер
i [aɪ] - я
it [ɪt] - это
callback [ˈkælbæk] - обратный вызов
setTimeout [ˌset təmˈaʊt] - установитьТаймаут
setInterval [ˌsɛt ɪntərˈvæl] - установитьИнтервал
callstack [kɔːl stæk] - стекВызовов
waited [ˈweɪtɪd] - ждал
am [æm] - я
done [dʌn] - готов
finish [ˈfɪnɪʃ] - завершить
Did [dɪd] - Сделал
now [naʊ] - теперь
SetTimeout [sɛt taɪmˈaʊt] - УстановитьТаймаут
Before [bɪˈfɔːr] - до
Promise [ˈprɒmɪs] - обещание
myPromise [maɪ ˈprɒmɪs] - моеОбещание
completed [kəmˈpliːtɪd] - завершено
reject [rɪˈʤɛkt] - отклонить
catch [kæʧ] - перехватить
resolve [rɪˈzɒlv] - разрешить
then [ðɛn] - затем
complex [kəmˈplɛks] - сложный
looks [lʊks] - выглядит
delayedResult [dɪˈleɪdɪd rɪˈzʌlt] - отсроченныйРезультат
execAsyncFunc [ɪɡˈzɛk əˈsɪŋk fʌŋk] - выполнитьАсинхроннуюФункцию
IIFE [aɪfaɪ] - немедленно вызываемая функция
successfully [səkˈsɛsfəli] - успешно
that [ðæt] - что
Because [bɪˈkɔːz] - Потому что
fetch [fɛʧ] - получение
response [rɪˈspɒns] - ответ
execute [ˈɛksɪˌkjuːt] - выполнить
awaiting [əˈweɪtɪŋ] - ожидание
SPAs [spæz] - Одностраничные приложения
CGI [ˌsiːʤiːˈaɪ] - Общий шлюз интерфейса
SSR [ˌɛs es ˈɑːr] - Серверный рендеринг на стороне сервера
Enter [ˈɛntər] - Войти
DOM [dɒm] - Объектная модель документа
npx [ɛn piː ɛks] - пакетный менеджер NPX
build [bɪld] - сборка
git [ɡɪt] - гит
dependencies [dɪˈpɛndənsiz] - зависимости
devDependencies [dɛv dɪˈpɛndənsiz] - зависимости разработки
start [stɑːrt] - запуск
eject [ɪˈʤɛkt] - извлечь
import [ˈɪmpɔːrt] - импортировать
React [riːˈækt] - Реакт
from [frəm] - из
ReactDOM [ˌriːˈækt ˌdɒm] - РеактДОМ
App [æp] - приложение
as [æz] - как
serviceWorker [ˈsɜːrvɪs ˈwɜːrkər] - сервисныйРаботник
If [ɪf] - если
you [juː] - вы
want [wɒnt] - хотите
your [jɔːr] - ваше
app [æp] - приложение
work [wɜːrk] - работать
offline [ˈɔːflaɪn] - в автономном режиме
load [loʊd] - загрузка
can [kæn] - могут
change [ʧeɪndʒ] - изменить
Note [noʊt] - примечание
comes [kʌmz] - приходит
with [wɪð] - с
Learn [lɜːrn] - узнать
more [mɔːr] - больше
about [əˈbaʊt] - о
service [ˈsɜːrvɪs] - сервис
core [kɔːr] - ядро
componentWillMount [kəmˈwaɪl mənt ˈwɪl] - componentWillMount
componentWillReceiveProps [kəmˌwil ˌriːsˈɪvˌprɒps] - componentWillReceiveProps
componentWillUpdate [kəmˌwil ˌʌpˈdeɪt] - componentWillUpdate
findDOMNode [faɪnd doʊm ˈnoʊd] - найтиЭлементDOM
Launch [lɔːnʧ] - Запуск
Connect [kəˈnɛkt] - Подключение
ubuntu [ʊˈbʊntuː] - убунту (Linux дистрибутив)
DNS [diː ɛn ɛs] - ДНС (доменная система имён)
apt [æpt] - менеджер пакетов APT (Advanced Package Tool)
update [ʌpˈdeɪt] - обновить
Apt [æpt] - APT (Advanced Package Tool)
supervised [ˈsuːpərˌvaɪzd] - надзираемый
systemd [ˈsɪstɛmd] - systemd (системный менеджер и инициализации)
systemctl [ˈsɪstɛmˌkəntl] - systemctl (утилита управления службами systemd)
restart [riːˈstɑːrt] - перезапуск
stop [stɒp] - остановка
status [ˈsteɪtəs] - статус
postgresql [ˌpoʊstˈɡrɛs kjuː ˈɛl] - PostgreSQL (реляционная система управления базами данных)
psql [ˈpiːˈskwɛl] - интерактивный интерфейс командной строки для PostgreSQL
createuser [kriːˈeɪt ˈjuːzər] - создать пользователя
createdb [kriːˈeɪtɪdˌdiːˈbiː] - создать базу данных
nodejs [noʊd ʤɛs] - ноде.джс (среда выполнения JavaScript на сервере)
bash [bæʃ] - командная оболочка Bash
nginx [ˌɛnˈdʒɪnˌɛks] - NGINX (веб-сервер и обратный прокси-сервер)
dist [dɪst] - дистрибутив
delete [dɪˈliːt] - удалить
loadEnv [loʊd ˈɛnv] - загрузить переменные окружения
synchronize [ˈsɪŋkrəˌnaɪz] - синхронизировать
scp [ɛsk siː piː] - scp (команда для копирования файлов через SSH)
pem [pɛm] - PEM (формат файла с закрытым ключом)
pscp [piː ɛsk siː piː] - pscp (команда для копирования файлов через SSH для Windows)
chmod [ʧɑːd ˈmɒd] - chmod (команда для изменения прав доступа к файлам)
startup [ˈstɑːrtˌʌp] - запуск
Systemd [ˈsɪstɛmd] - systemd (системный менеджер и инициализации)
dev [dɛv] - разработка
ufw [juː ɛf ˈdʌbljuː] - ufw (утилита для настройки файрвола)
No repository was found [noʊ rɪˈpɒzəˌtɔːri wəz faʊnd] - Репозиторий не найден
Gateway Timeout [ˈɡeɪtweɪ ˈtaɪmaʊt] - Превышено время ожидания шлюза
think [θɪŋk] - думать
it [ɪt] - это
is [ɪz] - это
okay [ˌoʊˈkeɪ] - в порядке
There [ðɛr] - Там
could [kʊd] - могло бы
be [biː] - быть
various [ˈvɛriəs] - разные
reasons [ˈriːzənz] - причины
why [waɪ] - почему
a [ə] - один
repository [rɪˈpɒzəˌtɔːri] - репозиторий
might [maɪt] - мог бы
not [nɒt] - не
be [biː] - быть
found [faʊnd] - найденным
